"ID","Anbieter","Träger-Kategorie","Trägerschaft","Bezirk/Standort","Zielgruppe","Angebots-Typ","Kosten","Website/Kontakt","Anmerkungen"
"001","FEZ Berlin","Öffentlich","Land Berlin","Köpenick","7-14 Jahre","FEZitty, Zirkus am Meer","Variabel","bildungsangebote.fez-berlin.de","Zirkus am Meer: 26.07-07.09.2025, FEZitty: 29.07-05.09.2025"
"002","Sportjugend Berlin","Sport","LSB Berlin","Berlinweit","6-12 Jahre","Mein bewegter Sommer","100€ (erm. 50€)","bewegter-sommer.de","16 Angebote à 2 Wochen, Anmeldung ab 10.04.2025"
"003","Hertha BSC","Sport","Profiklub","Berlin","6-13 Jahre","Fußballcamps","Variabel","herthabsc.com/de/nachwuchs/fussballschule","Olympiastadion, verschiedene Standorte"
"004","Berliner Bäder-Betriebe","Sport","Öffentlich","Berlinweit","Kinder","Sommerferien-Schwimmkurse","75-125€","berlinerbaeder.de/kurse/schwimmkurse","Seepferdchen und Aufbaukurse"
"005","Fußballferienschule BB","Sport","Privat","Brandenburg/Berlin","5-14 Jahre","Fußball-/Torwartcamps","Variabel","fussballschule-bb.de","Winter-, Oster-, Sommer-, Herbstferien"
"006","Ferienfussball","Sport","Privat","Deutschland/Ausland","8-17 Jahre","Fußballcamps","Variabel","ferienfussball.de","Junior, Profi, England, Spanien"
"007","Tennis Borussia Berlin","Sport","Verein","Charlottenburg","5-10 Jahre","Fußball-Feriencamps","159-199€","tebe.de","Hans-Rosenthal-Sportanlage"
"008","TC Berlin Weißensee","Sport","Verein","Weißensee","Kinder/Jugend","Tenniscamps","Variabel","tc-berlin-weissensee.de","2 Tenniscamps Sommer"
"009","BTTC Grün-Weiss","Sport","Verein","Steglitz","4-18 Jahre","Tennis-Feriencamps","Variabel","bttc-berlin.de","9-15 Uhr Training"
"010","Tennis-Verein TeBe","Sport","Verein","Berlin","Kinder","Sommer-Feriencamp","Variabel","tennis-verein-tebe.de","Tennis-Feriencamp"
"011","TC Berlin-Mitte","Sport","Verein","Mitte","7-14 Jahre","Tennis-Feriencamps","Variabel","tc-berlin-mitte.de","Kinder- und Jugendtraining"
"012","Landesjugendwerk AWO Berlin","Freier Träger","AWO","Berlinweit","14-25 Jahre","Ferienfreizeiten","Variabel","jugendwerk-awo-reisen.de","Europa-Reisen, Zeltlager"
"013","MACHmit! Museum","Kultur","Privat","Prenzlauer Berg","2+ Jahre","Ferienworkshops","Variabel","machmitmuseum.de/monatsprogramm-2","Ehemalige Eliaskirche"
"014","Labyrinth Kindermuseum","Kultur","Privat","Wedding","2+ Jahre","Ferienaktivitäten","Variabel","labyrinth-kindermuseum.de/de/talentival","Interaktive Programme"
"015","Kunstschule Berlin","Kultur","Privat","Prenzlauer Berg","Kinder","Kunst-Workshops","Kursgebühr","kunstschuleberlin.de","Halbtags/Ganztags"
"016","Ökowerk Berlin","Natur","Verein","Grunewald","7-12 Jahre","Ferienprogramm","Kursgebühr","oekowerk.de/angebote/kinder/ferienprogramm","Naturerkundung am Teufelsee"
"017","Domäne Dahlem","Natur","Stiftung","Dahlem","Kinder","Bauernhof-Feriencamp","Kursgebühr","domaene-dahlem.de/sommerferien-auf-der-domaene","28.07-01.08.2025 Sommerabenteuer"
"018","Little Lab e.V.","Bildung","Verein","Berlin","4-6 Jahre","MINT-Ferienaktivitäten","Spende","little-lab.de","Familien-Forscherstunden, buchbar über Tickettailor"
"019","Robot School","Bildung","Privat","Berlin","5-14 Jahre","Programmierung+Sport Feriencamps","Variabel","robot-school.de/kurskataloge/ferienprogramm","Coding, Robotik, alle Ferienwochen"
"020","MINT Impuls e.V.","Bildung","Verein","Moabit","5+ Jahre","Programmieren, Robotik","Variabel","mint-impuls.de","Scratch, Python, Lego Mindstorms"
"021","TüftelLab (Junge Tüftler)","Bildung","Verein","Berlinweit","5-16 Jahre","Digitale Bildung","Kostenlos","tueftellab.de","Blue Bots, Dash-Roboter"
"022","FabLab Kids","Bildung","Privat","München/Berlin","6+ Jahre","3D, Elektronik, Programmierung","Variabel","fablabkids.de","Minecraft, Arduino, Robotik"
